page,x,y,width,height,stroke_color,fill_color,line_width
1,322.61,574.0,78.86,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,403.47,572.0,166.53,109.5,0 G,0 g,0.5
1,405.47,668.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,668.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,656.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,656.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,645.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,645.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,633.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,633.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,608.5,129.28,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,608.5,33.24,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,597.0,162.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,405.47,597.0,72.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,477.71,597.0,90.29,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,585.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,585.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,574.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,574.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,476.0,175.61,96.0,0 G,0 g,0.5
1,27.0,559.0,114.41,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,559.0,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,170.01,559.0,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,547.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,547.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,547.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,536.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,536.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,536.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,524.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,524.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,524.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,513.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,513.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,513.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,501.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,501.5,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,490.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,490.0,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,478.0,171.61,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,200.61,476.0,205.89,96.0,0 G,0 g,0.5
1,202.61,558.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,558.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,547.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,547.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,535.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,535.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,524.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
