page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,"",,,,,110.12,592.25,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Minority School,407.47,587.5,F2,7.5,405.47,585.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,556.28,588.0,F2,7.0,534.76,585.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Affiliation Board-HSec,29.0,582.75,F2,7.5,27.0,580.75,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,110.12,580.75,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Availability of Handrails,204.61,582.75,F2,7.5,202.61,574.0,120.0,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,381.19,590.0,F2,7.0,322.61,574.0,78.86,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Approachable By All Weather Road,407.47,576.0,F2,7.5,405.47,574.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,576.5,F2,7.0,534.76,574.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Toilets,72.92,561.0,F1,7.0,27.0,559.0,114.41,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Boys,147.15,561.0,F1,7.0,141.41,559.0,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Girls,176.33,561.0,F1,7.0,170.01,559.0,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Total Class Rooms,204.61,560.5,F1,7.5,202.61,558.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,7,398.33,560.5,F1,7.5,324.44,558.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Drinking Water Available,410.5,560.5,F2,7.5,408.5,558.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,561.0,F2,7.0,535.38,558.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
