page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Approachable By All Weather Road,407.47,569.5,F2,7.5,405.47,567.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,570.0,F2,7.0,534.76,567.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Toilets,72.92,554.5,F1,7.0,27.0,552.5,114.41,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Boys,147.15,554.5,F1,7.0,141.41,552.5,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Girls,176.33,554.5,F1,7.0,170.01,552.5,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Total Class Rooms,204.61,554.0,F1,7.5,202.61,552.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,24,394.16,554.0,F1,7.5,324.44,552.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Drinking Water Available,410.5,554.0,F2,7.5,408.5,552.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,554.5,F2,7.0,535.38,552.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Total(Excluding CWSN),29.0,543.0,F2,7.5,27.0,541.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,164.12,543.5,F2,7.0,141.41,541.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,18,188.83,543.5,F2,7.0,170.01,541.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,In Good Condition,204.61,542.5,F2,7.5,202.61,540.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,24,394.72,543.0,F2,7.0,324.44,540.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Drinking Water Functional,410.5,542.5,F2,7.5,408.5,540.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,543.0,F2,7.0,535.38,540.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Functional,29.0,531.5,F2,7.5,27.0,529.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,164.12,532.0,F2,7.0,141.41,529.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,18,188.83,532.0,F2,7.0,170.01,529.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Needs Minor Repair,204.61,531.0,F2,7.5,202.61,529.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,398.61,531.5,F2,7.0,324.44,529.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Rain Water Harvesting,410.5,531.0,F2,7.5,408.5,529.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,531.5,F2,7.0,535.38,529.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Func. CWSN Friendly,29.0,520.0,F2,7.5,27.0,518.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,164.12,520.5,F2,7.0,141.41,518.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,1,192.72,520.5,F2,7.0,170.01,518.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
