page,x,y,width,height,stroke_color,fill_color,line_width
1,324.44,471.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,406.5,469.5,163.5,96.0,0 G,0 g,0.5
1,408.5,552.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,552.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,540.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,540.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,529.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,529.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,517.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,517.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,506.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,506.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,494.5,159.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,408.5,494.5,93.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,502.12,494.5,65.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,483.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,483.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,471.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,471.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,419.5,311.43,50.0,0 G,0 g,0.5
1,27.0,456.5,307.43,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,336.43,419.5,233.57,50.0,0 G,0 g,0.5
1,338.43,456.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,456.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,524.04,456.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,338.43,444.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,444.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,444.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,338.43,433.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,433.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,433.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,338.43,421.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,421.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,421.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,358.0,350.36,61.5,0 G,0 g,0.5
1,27.0,406.5,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,395.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,112.79,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,144.57,395.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,230.37,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,262.14,395.0,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,341.58,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,383.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,112.79,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,144.57,383.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,230.37,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,262.14,383.5,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,341.58,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,372.5,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,360.0,346.36,12.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,360.5,64.82,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,91.82,360.5,101.27,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,193.09,360.5,78.99,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,272.08,360.5,101.27,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,375.36,358.0,194.64,61.5,0 G,0 g,0.5
1,377.36,406.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,486.3,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,513.53,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,540.77,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,377.36,394.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,383.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,383.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,383.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,383.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,383.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,371.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,371.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,371.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,371.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,371.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,360.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,360.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,360.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,360.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,360.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,308.0,545.0,50.0,0 G,0 g,0.5
1,27.0,345.0,541.0,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,87.11,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,147.22,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,207.33,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,267.44,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,327.56,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,387.67,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,447.78,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,507.89,333.0,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,57.06,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,87.11,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,117.17,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,147.22,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,177.28,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,207.33,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,237.39,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,267.44,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,327.56,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,357.61,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,387.67,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,417.72,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,447.78,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,477.83,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,507.89,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,537.94,321.0,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,57.06,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,87.11,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,117.17,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,147.22,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,177.28,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,207.33,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,237.39,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,267.44,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,297.5,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,327.56,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,357.61,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,387.67,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,417.72,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,447.78,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,477.83,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,507.89,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,537.94,310.0,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,258.0,545.0,50.0,0 G,0 g,0.5
1,27.0,295.0,541.0,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,283.0,51.04,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,78.04,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,118.87,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,159.7,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,200.53,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,241.36,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,282.19,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,323.02,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,363.85,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,404.68,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,445.51,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,486.34,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,527.17,283.0,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,271.0,30.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,57.62,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,78.04,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,98.45,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,118.87,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,139.28,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,159.7,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,180.11,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,200.53,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,220.94,271.0,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
